name,n_starting_points,alpha,objective,running_time,n_iter,nh_order
greedy_insertion,0,0.0,1786.7938718615198,3.8391377925872803,0,0000
vnd,1,0.0,1462.866267840815,0.7857718467712402,70,"4,1,2,3"
vnd,1,0.0,1462.8499349535728,0.15549898147583008,71,"4,1,3,2"
vnd,1,0.0,1371.7038555040524,0.27809786796569824,96,"4,2,1,3"
vnd,1,0.0,1349.9366316048881,0.3748159408569336,104,"4,2,3,1"
vnd,1,0.0,1400.4716649930067,0.2574601173400879,91,"4,3,1,2"
vnd,1,0.0,1400.4716649930067,0.25762319564819336,91,"4,3,2,1"
vnd,1,0.0,1455.0903632443737,0.08790922164916992,52,"1,4,2,3"
vnd,1,0.0,1455.0903632443737,0.09338998794555664,53,"1,4,3,2"
vnd,1,0.0,1434.9236913970967,0.07986092567443848,70,"1,2,4,3"
vnd,1,0.0,1439.7940687686814,0.08043694496154785,61,"1,2,3,4"
vnd,1,0.0,1439.7940687686814,0.08243703842163086,61,"1,3,4,2"
vnd,1,0.0,1439.7940687686814,0.08388876914978027,61,"1,3,2,4"
vnd,1,0.0,1402.0165728961765,0.169691801071167,81,"2,4,1,3"
vnd,1,0.0,1317.7065222539381,0.2324831485748291,103,"2,4,3,1"
vnd,1,0.0,1437.63050056507,0.07244682312011719,67,"2,1,4,3"
vnd,1,0.0,1449.2522071404328,0.05226016044616699,56,"2,1,3,4"
vnd,1,0.0,1403.5865342247419,0.16596388816833496,84,"2,3,4,1"
vnd,1,0.0,1449.2522071404328,0.06170296669006348,57,"2,3,1,4"
vnd,1,0.0,1340.080621472005,0.2168569564819336,107,"3,4,1,2"
vnd,1,0.0,1478.6784543649408,0.1379690170288086,73,"3,4,2,1"
vnd,1,0.0,1439.7940687686814,0.0850980281829834,67,"3,1,4,2"
vnd,1,0.0,1439.7940687686814,0.08547687530517578,67,"3,1,2,4"
vnd,1,0.0,1478.6784543649408,0.13633203506469727,78,"3,2,4,1"
vnd,1,0.0,1449.2522071404328,0.06406402587890625,57,"3,2,1,4"
grasp,500,0.3,1300.6670647928318,16.6842839717865,99,"4,1,2,3"
grasp,500,0.4,1302.3463921840844,13.99830675125122,67,"4,1,2,3"
grasp,500,0.3,1300.6670647928318,13.632443904876709,98,"4,1,3,2"
grasp,500,0.4,1302.3463921840846,13.881878137588501,67,"4,1,3,2"
grasp,500,0.3,1300.6670647928318,14.280426740646362,101,"4,2,1,3"
grasp,500,0.4,1302.3463921840844,14.421195030212402,66,"4,2,1,3"
grasp,500,0.3,1300.6670647928318,14.03178095817566,102,"4,2,3,1"
grasp,500,0.4,1302.3463921840844,14.426320791244507,66,"4,2,3,1"
grasp,500,0.3,1300.6670647928318,13.971181154251099,101,"4,3,1,2"
grasp,500,0.4,1302.3463921840846,14.92100715637207,66,"4,3,1,2"
grasp,500,0.3,1300.6670647928318,14.300496339797974,101,"4,3,2,1"
grasp,500,0.4,1302.3463921840846,14.75728702545166,66,"4,3,2,1"
grasp,500,0.3,1320.80378274558,5.422820091247559,50,"1,4,2,3"
grasp,500,0.4,1307.0453079590725,5.128504037857056,83,"1,4,2,3"
grasp,500,0.3,1320.80378274558,5.542425155639648,49,"1,4,3,2"
grasp,500,0.4,1307.0453079590725,5.509283065795898,82,"1,4,3,2"
grasp,500,0.3,1323.8888529024243,4.427659034729004,79,"1,2,4,3"
grasp,500,0.4,1327.7846337130977,4.142019987106323,39,"1,2,4,3"
grasp,500,0.3,1318.9718253105405,4.239479064941406,42,"1,2,3,4"
grasp,500,0.4,1327.7846337130977,4.172761678695679,43,"1,2,3,4"
grasp,500,0.3,1318.7208829684976,4.4130940437316895,54,"1,3,4,2"
grasp,500,0.4,1327.7846337130977,4.331444025039673,42,"1,3,4,2"
grasp,500,0.3,1318.9718253105405,4.309497833251953,43,"1,3,2,4"
grasp,500,0.4,1327.7846337130977,4.223196029663086,42,"1,3,2,4"
grasp,500,0.3,1301.8666469105863,11.119635105133057,60,"2,4,1,3"
grasp,500,0.4,1310.250439285548,11.46576189994812,60,"2,4,1,3"
grasp,500,0.3,1301.8666469105863,11.699352025985718,60,"2,4,3,1"
grasp,500,0.4,1310.250439285548,12.22861909866333,65,"2,4,3,1"
grasp,500,0.3,1322.3323665103824,3.9316179752349854,43,"2,1,4,3"
grasp,500,0.4,1327.7846337130977,3.7949819564819336,47,"2,1,4,3"
grasp,500,0.3,1327.7846337130977,4.279120922088623,48,"2,1,3,4"
grasp,500,0.4,1318.3733897101104,3.887310028076172,79,"2,1,3,4"
grasp,500,0.3,1312.156949691755,12.622040033340454,78,"2,3,4,1"
grasp,500,0.4,1307.881319164691,13.37903380393982,137,"2,3,4,1"
grasp,500,0.3,1327.7846337130977,5.118062973022461,40,"2,3,1,4"
grasp,500,0.4,1324.2613591995766,5.027054071426392,75,"2,3,1,4"
grasp,500,0.3,1302.0473202562564,13.128262042999268,103,"3,4,1,2"
grasp,500,0.4,1309.2994095400272,13.583255052566528,124,"3,4,1,2"
grasp,500,0.3,1302.0473202562564,13.463931322097778,103,"3,4,2,1"
grasp,500,0.4,1309.2994095400272,14.473265886306763,124,"3,4,2,1"
grasp,500,0.3,1316.1631661371541,5.304544925689697,130,"3,1,4,2"
grasp,500,0.4,1316.4954214636018,4.970637083053589,87,"3,1,4,2"
grasp,500,0.3,1316.1631661371541,5.457722902297974,130,"3,1,2,4"
grasp,500,0.4,1316.4954214636018,5.188853979110718,87,"3,1,2,4"
grasp,500,0.3,1313.0478707951136,13.261813879013062,115,"3,2,4,1"
grasp,500,0.4,1309.2994095400272,14.122308015823364,124,"3,2,4,1"
grasp,500,0.3,1324.585669084182,5.391247987747192,60,"3,2,1,4"
grasp,500,0.4,1316.4954214636018,5.223639011383057,87,"3,2,1,4"
