name,n_starting_points,alpha,objective,running_time,n_iter,nh_order
greedy_insertion,0,0.0,1606.1837158241121,3.877690076828003,0,0000
vnd,1,0.0,1100.1988237693956,0.8872072696685791,52,"4,1,2,3"
vnd,1,0.0,1100.1988237693956,0.11522698402404785,52,"4,1,3,2"
vnd,1,0.0,1100.1988237693956,0.11938095092773438,53,"4,2,1,3"
vnd,1,0.0,1100.1988237693956,0.12116408348083496,53,"4,2,3,1"
vnd,1,0.0,1100.1988237693956,0.12048983573913574,53,"4,3,1,2"
vnd,1,0.0,1100.1988237693956,0.12059974670410156,53,"4,3,2,1"
vnd,1,0.0,1188.7451815170373,0.03408503532409668,37,"1,4,2,3"
vnd,1,0.0,1188.7451815170373,0.034201860427856445,37,"1,4,3,2"
vnd,1,0.0,1188.7451815170373,0.03065204620361328,37,"1,2,4,3"
vnd,1,0.0,1188.7451815170373,0.03206586837768555,37,"1,2,3,4"
vnd,1,0.0,1188.7451815170373,0.03211808204650879,37,"1,3,4,2"
vnd,1,0.0,1188.7451815170373,0.032206058502197266,37,"1,3,2,4"
vnd,1,0.0,1109.936965746128,0.1069340705871582,59,"2,4,1,3"
vnd,1,0.0,1109.936965746128,0.10927700996398926,59,"2,4,3,1"
vnd,1,0.0,1188.7451815170373,0.031247854232788086,49,"2,1,4,3"
vnd,1,0.0,1188.7451815170373,0.03308582305908203,49,"2,1,3,4"
vnd,1,0.0,1101.4151208133844,0.10678219795227051,69,"2,3,4,1"
vnd,1,0.0,1188.7451815170373,0.03872489929199219,50,"2,3,1,4"
vnd,1,0.0,1106.7166324868015,0.0901641845703125,58,"3,4,1,2"
vnd,1,0.0,1106.7166324868015,0.09165596961975098,58,"3,4,2,1"
vnd,1,0.0,1188.7451815170373,0.040225982666015625,44,"3,1,4,2"
vnd,1,0.0,1188.7451815170373,0.03970003128051758,44,"3,1,2,4"
vnd,1,0.0,1109.936965746128,0.1132822036743164,60,"3,2,4,1"
vnd,1,0.0,1188.7451815170373,0.04365086555480957,48,"3,2,1,4"
grasp,2000,0.35,1074.9588506698997,34.46214509010315,58,"4,1,2,3"
grasp,2000,0.35,1074.4636399998487,27.832380056381226,81,"3,4,1,2"
grasp,2000,0.35,1074.4636399998487,25.622695207595825,70,"2,4,3,1"
