name,n_starting_points,alpha,objective,running_time,n_iter,nh_order
greedy_insertion,0,0.0,1830.110302702616,3.9507369995117188,0,0000
vnd,1,0.0,1448.5583711816878,0.9700207710266113,58,"4,1,2,3"
vnd,1,0.0,1448.5583711816878,0.21206974983215332,57,"4,1,3,2"
vnd,1,0.0,1436.0006715473078,0.27101993560791016,76,"4,2,1,3"
vnd,1,0.0,1482.7086648864017,0.2042839527130127,63,"4,2,3,1"
vnd,1,0.0,1482.7086648864017,0.21088910102844238,64,"4,3,1,2"
vnd,1,0.0,1482.7086648864017,0.20797991752624512,63,"4,3,2,1"
vnd,1,0.0,1457.017859344602,0.07947683334350586,50,"1,4,2,3"
vnd,1,0.0,1457.017859344602,0.07961702346801758,50,"1,4,3,2"
vnd,1,0.0,1427.466405620979,0.06456398963928223,59,"1,2,4,3"
vnd,1,0.0,1427.466405620979,0.06746101379394531,59,"1,2,3,4"
vnd,1,0.0,1427.466405620979,0.06818819046020508,60,"1,3,4,2"
vnd,1,0.0,1427.466405620979,0.06831479072570801,60,"1,3,2,4"
vnd,1,0.0,1391.144156515523,0.18169116973876953,91,"2,4,1,3"
vnd,1,0.0,1546.540980564009,3.10968017578125,999,"2,4,3,1"
vnd,1,0.0,1427.7419871654206,0.0735170841217041,79,"2,1,4,3"
vnd,1,0.0,1367.1338634606236,0.10277581214904785,93,"2,1,3,4"
vnd,1,0.0,1599.742670238113,0.1630091667175293,999,"2,3,4,1"
vnd,1,0.0,1415.4482475273785,0.13332295417785645,79,"2,3,1,4"
vnd,1,0.0,1580.130470214175,0.16250085830688477,999,"3,4,1,2"
vnd,1,0.0,1580.130470214175,0.1622772216796875,999,"3,4,2,1"
vnd,1,0.0,1415.4482475273785,0.13552308082580566,89,"3,1,4,2"
vnd,1,0.0,1415.4482475273785,0.1354508399963379,89,"3,1,2,4"
vnd,1,0.0,1580.130470214175,0.16241002082824707,999,"3,2,4,1"
vnd,1,0.0,1415.4482475273785,0.13590669631958008,89,"3,2,1,4"
grasp,2000,0.3,1323.7768132124609,70.53957676887512,109,"4,1,2,3"
grasp,2000,0.3,1324.4921667088734,61.15296792984009,109,"3,4,1,2"
grasp,2000,0.3,1327.2388018580775,125.4125189781189,78,"2,4,3,1"
