name,n_starting_points,alpha,objective,running_time,n_iter,nh_order
greedy_insertion,0,0.0,1947.9359731639006,0.01591801643371582,0,0000
vnd,1,0.0,1369.6016984102175,0.22989487648010254,63,"4,1,2,3"
vnd,1,0.0,1390.6990100524733,0.18833613395690918,58,"4,1,3,2"
vnd,1,0.0,1415.9898643901386,0.14663004875183105,58,"4,2,1,3"
vnd,1,0.0,1419.9917428100027,0.12871408462524414,56,"4,2,3,1"
vnd,1,0.0,1419.9917428100025,0.12898588180541992,56,"4,3,1,2"
vnd,1,0.0,1419.9917428100025,0.13107609748840332,56,"4,3,2,1"
vnd,1,0.0,1453.5363979275526,0.08943700790405273,63,"1,4,2,3"
vnd,1,0.0,1453.5363979275526,0.09271383285522461,63,"1,4,3,2"
vnd,1,0.0,1461.7262143140706,0.10214495658874512,64,"1,2,4,3"
vnd,1,0.0,1469.775507102927,0.07555723190307617,66,"1,2,3,4"
vnd,1,0.0,1469.775507102927,0.07793211936950684,67,"1,3,4,2"
vnd,1,0.0,1469.775507102927,0.07784390449523926,67,"1,3,2,4"
vnd,1,0.0,1450.3324917856014,0.1462700366973877,81,"2,4,1,3"
vnd,1,0.0,1450.3324917856014,0.14850807189941406,81,"2,4,3,1"
vnd,1,0.0,1469.775507102927,0.06039094924926758,66,"2,1,4,3"
vnd,1,0.0,1469.775507102927,0.07236623764038086,69,"2,1,3,4"
vnd,1,0.0,1415.3209444240024,0.1863420009613037,111,"2,3,4,1"
vnd,1,0.0,1469.775507102927,0.08101010322570801,73,"2,3,1,4"
vnd,1,0.0,1463.3000042739254,0.1470801830291748,71,"3,4,1,2"
vnd,1,0.0,1463.3000042739254,0.14713811874389648,71,"3,4,2,1"
vnd,1,0.0,1469.775507102927,0.0845489501953125,74,"3,1,4,2"
vnd,1,0.0,1469.775507102927,0.08446121215820312,74,"3,1,2,4"
vnd,1,0.0,1463.3000042739254,0.1470499038696289,71,"3,2,4,1"
vnd,1,0.0,1469.775507102927,0.08446073532104492,74,"3,2,1,4"
grasp,5000,0.35,1358.7392063810346,131.65299606323242,60,"3,2,1,4"
